"Refs","Value","Footprint","Qty","DNP"
"C1","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C2","10uF","Capacitor_SMD:C_1206_3216Metric","1",""
"J1","2xAAA 3V0","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","1",""
"LED1","STATUS","LED_SMD:LED_0805_2012Metric","1",""
"R1","330","Resistor_SMD:R_0805_2012Metric","1",""
"SW1","BTN1","Button_Switch_SMD:SW_SPST_PTS645Sx43SMTR92","1",""
"SW2","BTN2","Button_Switch_SMD:SW_SPST_PTS645Sx43SMTR92","1",""
"SW3","BTN3","Button_Switch_SMD:SW_SPST_PTS645Sx43SMTR92","1",""
"SW4","BTN4","Button_Switch_SMD:SW_SPST_PTS645Sx43SMTR92","1",""
"SW5","BTN5","Button_Switch_SMD:SW_SPST_PTS645Sx43SMTR92","1",""
"SW6","BTN6","Button_Switch_SMD:SW_SPST_PTS645Sx43SMTR92","1",""
"SW7","BTN7","Button_Switch_SMD:SW_SPST_PTS645Sx43SMTR92","1",""
"SW8","BTN8","Button_Switch_SMD:SW_SPST_PTS645Sx43SMTR92","1",""
"SW9","BTN9","Button_Switch_SMD:SW_SPST_PTS645Sx43SMTR92","1",""
"SW10","BTN10","Button_Switch_SMD:SW_SPST_PTS645Sx43SMTR92","1",""
"SW11","BTN11","Button_Switch_SMD:SW_SPST_PTS645Sx43SMTR92","1",""
"SW12","BTN12","Button_Switch_SMD:SW_SPST_PTS645Sx43SMTR92","1",""
"U1","STM32F103C8T6","HM-BlueRemote-12:Bluepill_Socket_2x20","1",""
"U2","CC1101","Connector_PinSocket_2.54mm:PinSocket_2x04_P2.54mm_Vertical","1",""
